;Proposições;Autor;Apresentaç
495;PL 2697/2020;Dr. Zacharias Calil - DEM/GO;15/05/2020
496;PL 2715/2020;"Enio Verri - PT/PR; Perpétua Almeida - PCdoB/AC; Fernanda Melchionna - PSOL/RS e outros";15/05/2020
497;PL 2751/2020;"Lucas Gonzalez - NOVO/MG;Alexis Fonteyne - NOVO/SP";19/05/2020
498;PL 2806/2020;"Weliton Prado - PROS/MG;Ricardo Izar - PP/SP";21/05/2020
499;PL 861/2020;Kim Kataguiri - DEM/SP;23/03/2020
500;PL 1493/2020;Felipe Carreras - PSB/PE;02/04/2020
501;PL 1317/2020;Dr. Zacharias Calil - DEM/GO;31/03/2020
502;PL 116/2015;Juscelino Rezende Filho - PRP/MA;03/02/2015
503;PL 1892/2020;Dr. Leonardo - SOLIDARI/MT;14/04/2020
504;PL 7122/2014;Eleuses Paiva - PSD/SP;12/02/2014
505;PL 8778/2017;Cabo Sabino - PR/CE;04/10/2017
506;PL 659/2020;"Helder Salomão - PT/ES;Margarida Salomão - PT/MG";17/03/2020
507;PL 6549/2016;"Dâmina Pereira - PSL/MG;Norma Ayub - DEM/ES";24/11/2016
508;PL 2683/2020;"Guilherme Derrite - PP/SP;Major Fabiana - PSL/RJ";14/05/2020
509;PL 1288/2020;"Mariana Carvalho - PSDB/RO; Hiran Gonçalves - PP/RR; Dr. Frederico - PATRIOTA/MG e outros";30/03/2020
510;PL 1238/2020;Alexandre Frota - PSDB/SP;30/03/2020
511;PL 7146/2010;Filipe Pereira - PSC/RJ;14/04/2010
512;PL 60/2019;Fred Costa - PATRI/MG;04/02/2019
513;PL 3171/2015;Goulart - PSD/SP;30/09/2015
514;PL 45/2019;Fred Costa - PATRI/MG;04/02/2019
515;PL 4345/2016;Atila A. Nunes - PSL/RJ;04/02/2016
516;PL 3774/2019;Maria do Rosário - PT/RS;27/06/2019
517;PL 9554/2018;Pompeo de Mattos - PDT/RS;07/02/2018
