;Proposições;Autor;Apresentaç
284;PL 11008/2018;Mariana Carvalho - PSDB/RO;21/11/2018
285;PL 614/2020;Lauriete - PL/ES;11/03/2020
286;PL 3127/2020;Carlos Bezerra - MDB/MT;04/06/2020
287;PL 3556/2020;Lucas Gonzalez - NOVO/MG;30/06/2020
288;PL 2653/2019;David Miranda - PSOL/RJ;07/05/2019
289;PL 1979/2020;Chris Tonietto - PSL/RJ;16/04/2020
290;PL 2690/2020;"Erika Kokay - PT/DF; Professora Rosa Neide - PT/MT; Patrus Ananias - PT/MG e outros";14/05/2020
291;PL 2819/2020;"Talíria Petrone - PSOL/RJ;Benedita da Silva - PT/RJ";21/05/2020
292;PL 2703/2020;Filipe Barros - PSL/PR;15/05/2020
293;PL 1462/2020;"Alexandre Padilha - PT/SP; Carmen Zanotto - CIDADANIA/SC; Jandira Feghali - PCdoB/RJ e outros";02/04/2020
294;PL 1320/2020;"Alexandre Padilha - PT/SP; Jorge Solla - PT/BA; Carmen Zanotto - CIDADANIA/SC e outros";31/03/2020
295;PL 1832/2015;Goulart - PSD/SP;09/06/2015
296;PL 2207/2019;Marcelo Ramos - PR/AM;10/04/2019
297;PL 2777/2019;Talíria Petrone - PSOL/RJ;09/05/2019
298;PL 5998/2016;Mariana Carvalho - PSDB/RO;10/08/2016
299;PL 4886/2019;Bibo Nunes - PSL/RS;04/09/2019
300;PL 7972/2014;João Paulo Lima - PT/PE;04/09/2014
301;PL 729/2015;Davidson Magalhães - PCdoB/BA;12/03/2015
302;PL 233/2019;Ney Leprevost;04/02/2019
303;PLP 84/2020;Enio Verri - PT/PR;08/04/2020
304;PLP 104/2020;Joaquim Passarinho - PSD/PA;17/04/2020
305;PL 11276/2018;Poder Executivo;27/12/2018
306;PL 2350/2020;Capitão Alberto Neto - REPUBLIC/AM;04/05/2020
307;PL 3597/2020;"Bira do Pindaré - PSB/MA; Vilson da Fetaemg - PSB/MG; Camilo Capiberibe - PSB/AP e outros";01/07/2020
308;PL 4380/2019;Paula Belmonte - CIDADANIA/DF;08/08/2019
309;PLP 130/2020;Mário Heringer - PDT/MG;21/05/2020
310;PL 2275/2020;Léo Moraes - PODE/RO;28/04/2020
311;PL 3042/2020;"Alexandre Frota - PSDB/SP; Jose Mario Schreiner - DEM/GO; Cássio Andrade - PSB/PA e outros";01/06/2020
312;PL 2455/2019;Capitão Wagner - PROS/CE;23/04/2019
313;PL 8176/2017;Marcos Rogério - DEM/RO;08/08/2017
314;PL 5676/2016;Geraldo Resende - PSDB/MS;28/06/2016
315;PL 707/2020;"Talíria Petrone - PSOL/RJ; Glauber Braga - PSOL/RJ; Luiza Erundina - PSOL/SP";18/03/2020
316;PL 5740/2016;Nilto Tatto - PT/SP;05/07/2016
317;PL 9950/2018;"Alessandro Molon - PSB/RJ; Célio Studart - PV/CE; Professora Rosa Neide - PT/MT e outros";04/04/2018
318;PEC 45/2019;Baleia Rossi - MDB/SP;03/04/2019
319;PL 821/2020;José Guimarães - PT/CE;23/03/2020
320;PL 959/2020;Hildo Rocha - MDB/MA;24/03/2020
321;PL 997/2020;Eduardo Bismarck - PDT/CE;25/03/2020
322;PL 1074/2020;Capitão Alberto Neto - REPUBLIC/AM;26/03/2020
323;PL 2294/2015;André Figueiredo - PDT/CE;08/07/2015
324;PL 2928/2015;Rocha - PSDB/AC;09/09/2015
325;PL 1117/2020;"Capitão Wagner - PROS/CE;Acácio Favacho - PROS/AP";26/03/2020
326;PL 1907/2020;"Ivan Valente - PSOL/SP; Talíria Petrone - PSOL/RJ; Fernanda Melchionna - PSOL/RS e outros";15/04/2020
327;PL 3978/2019;Carmen Zanotto - CIDADANIA/SC;09/07/2019
328;PL 10246/2018;Heuler Cruvinel - PP/GO;16/05/2018
329;PL 6055/2013;"Pastor Eurico - PSB/PE; Costa Ferreira - PSC/MA; Pastor Marco Feliciano - PSC/SP e outros";07/08/2013
330;PL 788/2019;Flordelis - PSD/RJ;13/02/2019
331;PL 6948/2017;Professor Victório Galli - PSC/MT;16/02/2017
332;PL 8608/2017;Norma Ayub - DEM/ES;19/09/2017
333;PL 2640/2019;Amaro Neto - PRB/ES;07/05/2019
334;PL 3087/2012;Senado Federal - Humberto Costa - PT/PE;02/01/2012
335;PL 3392/2019;Fábio Faria - PSD/RN;06/06/2019
336;PL 7947/2017;Renata Abreu - PODE/SP;27/06/2017
337;PL 2344/2015;Odorico Monteiro - PT/CE;14/07/2015
338;PL 4036/2012;Nilda Gondim - PMDB/PB;06/06/2012
339;PL 3949/2012;Edmar Arruda - PSC/PR;24/05/2012
340;PL 6175/2016;Rafael Motta - PSB/RN;19/09/2016
341;PL 7914/2014;Felipe Bornier - PSD/RJ;26/08/2014
342;PL 5404/2019;André de Paula - PSD/PE;08/10/2019
343;PL 2982/2011;Anthony Garotinho - PR/RJ;14/12/2011
344;PL 8108/2017;Vaidon Oliveira - DEM/CE;13/07/2017
345;PL 3918/2019;Eli Borges - SOLIDARI/TO;08/07/2019
346;PL 4753/2019;Charlles Evangelista - PSL/MG;28/08/2019
347;PL 1059/2019;José Medeiros - PODE/MT;22/02/2019
348;PL 4410/2019;Julio Cesar Ribeiro - PRB/DF;13/08/2019
349;PL 1147/2011;Rogério Carvalho - PT/SE;26/04/2011
350;PL 3104/2019;Dr. Luiz Antonio Teixeira Jr. - PP/RJ;23/05/2019
351;PL 4478/2016;COMISSÃO DE LEGISLAÇÃO PARTICIPATIVA;18/02/2016
352;PL 4097/2015;Marcelo Belinati - PP/PR;16/12/2015
353;PL 2504/2015;PACTO FEDERATIVO;05/08/2015
354;PL 5126/2016;Geraldo Resende - PSDB/MS;02/05/2016
355;PL 1944/2020;Carlos Bezerra - MDB/MT;16/04/2020
356;PL 4529/2012;Júlio Campos - DEM/MT;10/10/2012
357;PL 10370/2018;Augusto Carvalho - SD/DF;06/06/2018
358;PL 9556/2018;Delegado Éder Mauro - PSD/PA;08/02/2018
359;PL 3924/2012;"Pedro Uczai - PT/SC; Inocêncio Oliveira - PR/PE; Arnaldo Jardim - PPS/SP e outros";23/05/2012
360;PL 1897/2011;Andreia Zito - PSDB/RJ;02/08/2011
361;PL 9253/2017;Antonio Bulhões - PRB/SP;05/12/2017
362;PL 6941/2017;Jozi Araújo - PTN/AP;15/02/2017
363;PL 1774/2020;"Marcelo Ramos - PL/AM; Flávia Arruda - PL/DF; Hiran Gonçalves - PP/RR e outros";09/04/2020
364;PL 1777/2020;Erika Kokay - PT/DF;09/04/2020
365;PL 1778/2020;Erika Kokay - PT/DF;09/04/2020
366;PLP 74/2020;Hélio Leite - DEM/PA;01/04/2020
367;PL 6722/2010;Poder Executivo;29/01/2010
368;PL 7660/2010;Solange Amaral - DEM/RJ;14/07/2010
369;PLP 32/2019;Roberto Pessoa - PSDB/CE;13/02/2019
370;PLP 406/2017;Cabo Sabino - PR/CE;15/08/2017
371;PL 5778/2016;COMISSÃO DE SEGURIDADE SOCIAL E FAMÍLIA;07/07/2016
372;PL 6152/2019;Edna Henrique - PSDB/PB;26/11/2019
373;PL 804/2020;"Rodrigo Coelho - PSB/SC;Dra. Soraya Manato - PSL/ES";23/03/2020
374;PL 3319/2019;Marco Bertaiolli - PSD/SP;04/06/2019
375;PL 3206/2019;Flávia Arruda - PL/DF;29/05/2019
376;PL 6118/2019;Alexandre Padilha - PT/SP;20/11/2019
377;PL 6232/2019;Mariana Carvalho - PSDB/RO;27/11/2019
378;PL 4586/2019;Reginaldo Lopes - PT/MG;20/08/2019
379;PL 4880/2019;Perpétua Almeida - PCdoB/AC;04/09/2019
380;PL 10976/2018;Miro Teixeira - REDE/RJ;13/11/2018
381;PL 565/2011;Lindomar Garçon - PV/RO;23/02/2011
382;PL 5116/2019;Zé Vitor - PL/MG;17/09/2019
383;PL 4359/2019;Cássio Andrade - PSB/PA;08/08/2019
